[INFO] [1695910151.954945, 0.000000]: Waiting for clock
[INFO] [1695910160.420642, 1539699407.463744]: Error (in mm): 1.73
[INFO] [1695910160.428333, 1539699407.473834]: Error (in mm): 1.73
[INFO] [1695910160.430775, 1539699407.473834]: Error (in mm): 1.73
[INFO] [1695910160.438155, 1539699407.483901]: Error (in mm): 1.74
[INFO] [1695910160.440374, 1539699407.483901]: Error (in mm): 1.74
[INFO] [1695910160.448267, 1539699407.493961]: Error (in mm): 1.74
[INFO] [1695910160.450336, 1539699407.493961]: Error (in mm): 1.74
[INFO] [1695910160.458179, 1539699407.504028]: Error (in mm): 1.75
[INFO] [1695910160.460455, 1539699407.504028]: Error (in mm): 1.75
[INFO] [1695910160.468583, 1539699407.514093]: Error (in mm): 1.75
[INFO] [1695910160.471149, 1539699407.514093]: Error (in mm): 1.76
[INFO] [1695910160.478558, 1539699407.524165]: Error (in mm): 1.76
[INFO] [1695910160.480721, 1539699407.524165]: Error (in mm): 1.76
[INFO] [1695910160.488589, 1539699407.534238]: Error (in mm): 1.77
[INFO] [1695910160.490881, 1539699407.534238]: Error (in mm): 1.77
[INFO] [1695910160.498621, 1539699407.544311]: Error (in mm): 1.77
[INFO] [1695910160.500712, 1539699407.544311]: Error (in mm): 1.77
[INFO] [1695910160.508713, 1539699407.554383]: Error (in mm): 1.74
[INFO] [1695910160.510921, 1539699407.554383]: Error (in mm): 1.74
[INFO] [1695910160.519227, 1539699407.564474]: Error (in mm): 1.74
[INFO] [1695910160.521560, 1539699407.564474]: Error (in mm): 1.74
[INFO] [1695910160.528995, 1539699407.574566]: Error (in mm): 1.74
[INFO] [1695910160.532119, 1539699407.574566]: Error (in mm): 1.74
[INFO] [1695910160.538929, 1539699407.584635]: Error (in mm): 1.74
[INFO] [1695910160.541015, 1539699407.584635]: Error (in mm): 1.74
[INFO] [1695910160.548985, 1539699407.594730]: Error (in mm): 1.74
[INFO] [1695910160.551276, 1539699407.594730]: Error (in mm): 1.74
[INFO] [1695910160.559000, 1539699407.604801]: Error (in mm): 1.75
[INFO] [1695910160.561607, 1539699407.604801]: Error (in mm): 1.75
[INFO] [1695910160.569723, 1539699407.614897]: Error (in mm): 1.75
[INFO] [1695910160.571831, 1539699407.614897]: Error (in mm): 1.76
[INFO] [1695910160.579423, 1539699407.624966]: Error (in mm): 1.76
[INFO] [1695910160.581850, 1539699407.624966]: Error (in mm): 1.76
[INFO] [1695910160.589674, 1539699407.635317]: Error (in mm): 1.74
[INFO] [1695910160.591953, 1539699407.635317]: Error (in mm): 1.74
[INFO] [1695910160.599873, 1539699407.645411]: Error (in mm): 1.74
[INFO] [1695910160.602473, 1539699407.645411]: Error (in mm): 1.74
[INFO] [1695910160.609993, 1539699407.655512]: Error (in mm): 1.73
[INFO] [1695910160.612194, 1539699407.655512]: Error (in mm): 1.73
[INFO] [1695910160.619714, 1539699407.665584]: Error (in mm): 1.74
[INFO] [1695910160.621854, 1539699407.665584]: Error (in mm): 1.74
[INFO] [1695910160.630087, 1539699407.675658]: Error (in mm): 1.74
[INFO] [1695910160.632279, 1539699407.675658]: Error (in mm): 1.74
[INFO] [1695910160.640155, 1539699407.685726]: Error (in mm): 1.74
[INFO] [1695910160.642218, 1539699407.685726]: Error (in mm): 1.74
[INFO] [1695910160.650120, 1539699407.695797]: Error (in mm): 1.74
[INFO] [1695910160.652159, 1539699407.695797]: Error (in mm): 1.74
